frame_idx,timestamp_ms,blur_score,g1_pass,shake_score,g2_pass,pool_ratio,g3_pass,glare_score,g4_pass,splash_ratio,g5_pass,frame_pass
0,0.0,248.60556679839965,True,0.0,True,0.12313368055555556,True,120.83321290095172,True,0.0,True,True
1,1056.2,298.45604979332694,True,4.842171669006348,True,0.1292632378472222,True,123.29048342553031,True,0.0024343358879869723,True,True
2,2112.4,303.14718070474805,True,5.157757759094238,True,0.12039279513888888,True,118.49623267299962,True,0.002370351677271662,True,True
3,3168.6000000000004,241.18751791093501,True,4.444297790527344,True,0.11860243055555555,False,118.06088523750275,True,0.0024061333528507646,True,False
4,4224.8,297.86293738677307,True,3.3758490085601807,True,0.11841037326388888,False,119.0103732348548,True,0.0,True,False
5,5281.0,280.83619178733824,True,3.626267910003662,True,0.11565863715277777,False,118.63607621656612,True,0.0,True,False
6,6337.200000000001,285.43707483395696,True,4.778106689453125,True,0.11541232638888889,False,118.52551615208152,True,0.002529051182730999,True,False
7,7393.400000000001,355.7139667783653,True,12.934428215026855,True,0.12133029513888889,True,124.42765028886225,True,0.007243914217746695,True,True
8,8449.6,232.11858640089628,True,12.265968322753906,True,0.12436306423611111,True,134.99716437053388,True,0.02877509532077513,True,True
9,9505.800000000001,61.17525227169465,False,9.960121154785156,True,0.14499348958333333,True,138.28436082798257,True,0.04158621825093919,True,False
10,10562.0,247.20725680185961,True,9.98712158203125,True,0.13097005208333334,True,141.52806912892908,True,0.027795728322645857,True,True
11,11618.2,284.5908983411954,True,15.008490562438965,False,0.12710828993055556,True,140.31983131727887,True,0.02674508933525691,True,False
12,12674.400000000001,306.55283879620464,True,14.703804016113281,True,0.12839626736111112,True,138.0442153300093,True,0.020104791684272795,True,True
13,13730.6,316.73089102073845,True,11.662945747375488,True,0.14738823784722221,True,137.7455625657977,True,0.025185337878129762,True,True
14,14786.800000000001,276.4942793438757,True,12.17435359954834,True,0.14739149305555554,True,135.28552077505228,True,0.014981300980594246,True,True
15,15843.0,256.4208291413756,True,14.129655838012695,True,0.14767686631944443,True,134.824811350561,True,0.01606183733899588,True,True
16,16899.2,277.3421746107866,True,11.989571571350098,True,0.14847439236111112,True,135.078189631232,True,0.018072993554233596,True,True
17,17955.4,294.2160637622113,True,12.586493492126465,True,0.14681966145833333,True,135.20097702296226,True,0.015261364728140775,True,True
18,19011.600000000002,242.3192440341419,True,12.602920532226562,True,0.11801106770833333,False,137.92258111972342,True,0.014095385209499904,True,False
19,20067.8,309.93443005930465,True,13.8018159866333,True,0.1293359375,True,139.29051310446658,True,0.02049565421658445,True,True
20,21124.0,321.44804904434295,True,11.911367416381836,True,0.1259592013888889,True,136.8168481444471,True,0.023121188105165225,True,True
21,22180.2,300.5155617569806,True,10.292426109313965,True,0.129736328125,True,138.44059716472213,True,0.01676912139840254,True,True
22,23236.4,313.60105096053024,True,9.869292259216309,True,0.13012803819444443,True,137.89179994329837,True,0.01781098343978787,True,True
23,24292.600000000002,322.6477309627663,True,7.966000556945801,True,0.12823350694444444,True,138.09629378913522,True,0.015806397021492637,True,True
24,25348.800000000003,312.85236219120617,True,5.330150604248047,True,0.12820855034722223,True,138.53979027903551,True,0.015310138205946325,True,True
25,26405.0,323.2125744183564,True,5.839776992797852,True,0.12803385416666666,True,139.487686023255,True,0.015432726533102818,True,True
26,27461.2,314.07033973976297,True,6.550137042999268,True,0.1281032986111111,True,138.5574792478401,True,0.013848890394714552,True,True
27,28517.4,304.99949320660704,True,5.261821746826172,True,0.12638780381944445,True,139.47436018509774,True,0.014526223611123035,True,True
28,29573.600000000002,299.5791766204411,True,5.479154586791992,True,0.12416124131944445,True,139.64857944366278,True,0.01226109222473717,True,True
29,30629.800000000003,309.79785698784605,True,4.329370498657227,True,0.125146484375,True,139.14875796592534,True,0.013941995057874886,True,True
